date,broker,buy_amount,sell_amount,net_amount,net_matching
2026-06-30,34,141112386.6,66448613.24,74663773.36,1200189.7
2026-06-30,101,65445334.1,5072534.3,60372799.8,0.0
2026-06-30,42,160305708.5,106737087.2,53568621.3,4639962.1
2026-06-30,44,94579570.1,63822137.2,30757432.9,1679907.8
2026-06-30,49,119265133.35,91111349.4,28153783.95,4561192.7
2026-06-30,52,63131061.7,35973246.9,27157814.8,510518.0
2026-06-30,65,59172940.3,34756782.0,24416158.3,0.0
2026-06-30,64,49459338.6,25757992.8,23701345.8,0.0
2026-06-30,32,185821133.3,162741290.9,23079842.4,125288359.9
2026-06-30,62,66091969.3,44725105.3,21366864.0,1870309.7
2026-06-30,13,35187153.5,22663907.8,12523245.7,71277.0
2026-06-30,82,16116855.6,3603607.4,12513248.2,0.0
2026-06-30,56,69178464.6,57341518.3,11836946.3,6401042.6
2026-06-30,80,20213009.9,8805661.6,11407348.3,6591.0
2026-06-30,85,15366796.1,6814200.4,8552595.7,0.0
2026-06-30,1,51559161.9,43146002.9,8413159.0,683880.6
2026-06-30,69,15498282.9,7350193.9,8148089.0,0.0
2026-06-30,95,20480823.9,12525553.2,7955270.7,0.0
2026-06-30,92,14870198.6,7030575.3,7839623.3,127718.0
2026-06-30,60,26237497.3,18496867.5,7740629.8,213750.0
2026-06-30,40,24045761.2,16804160.4,7241600.8,80072.0
2026-06-30,29,36135472.7,29519034.7,6616438.0,701443.7
2026-06-30,51,28449104.8,21852801.0,6596303.8,1288504.0
2026-06-30,63,31947801.7,25408585.0,6539216.7,1890638.5
2026-06-30,48,101580430.9,95964984.1,5615446.8,4390132.0
2026-06-30,70,24783184.9,19399225.5,5383959.4,0.0
2026-06-30,59,23136315.2,17877912.5,5258402.7,191029.0
2026-06-30,5,17898747.8,12673793.5,5224954.3,177200.0
2026-06-30,100,11093712.8,6794356.4,4299356.4,0.0
2026-06-30,78,4680815.0,994111.5,3686703.5,0.0
2026-06-30,67,14112352.7,10717966.9,3394385.8,40600.0
2026-06-30,7,21434402.3,18260311.2,3174091.1,223627.9
2026-06-30,37,14351966.3,11366234.1,2985732.2,237500.0
2026-06-30,6,47924527.6,45101632.9,2822894.7,1486174.7
2026-06-30,84,23441567.5,20792212.2,2649355.3,7530558.0
2026-06-30,53,33442468.7,31331039.95,2111428.75,292271.6
2026-06-30,76,2003260.8,596840.8,1406420.0,0.0
2026-06-30,98,2804426.2,1508730.4,1295695.8,724979.8
2026-06-30,10,13922404.0,13049051.15,873352.85,71209.0
2026-06-30,45,96237482.65,95816365.8,421116.85,3427980.9
2026-06-30,47,33174726.0,33164649.4,10076.6,1033625.0
2026-06-30,91,9429824.1,10094340.6,-664516.5,256070.0
2026-06-30,83,7876085.3,8564543.7,-688458.4,0.0
2026-06-30,88,17513445.6,18299125.6,-785680.0,105825.0
